date,kwh,cost
2025-09-24,710,129.94
2025-08-25,1001,178.68
2025-07-25,1182,209.03
2025-06-25,865,155.9
2025-05-27,701,128.43
2025-04-25,688,126.24
2025-03-26,556,104.11
2025-02-25,549,102.94
2025-01-27,652,120.06
2024-12-26,725,131.39
2024-11-21,599,110.42
2024-10-23,672,122.85
2024-09-24,992,177.56
2024-08-23,1033,183.43
2024-07-25,1034,182.55
2024-06-25,1069,188.29
2024-05-24,698,126.55
2024-04-25,627,114.79
2024-03-26,643,117.39
2024-02-26,666,120.08
2024-01-26,634,106.36
2023-12-27,759,127.28
2023-11-22,667,113.43
2023-10-24,696,118.88
2023-09-25,1481,239.93
2023-08-24,1909,299.92
2023-07-26,1764,277.97
2023-06-26,1068,172.49
2023-05-25,820,134.61
2023-04-26,662,110.79
2023-03-27,523,165.49
2023-02-24,461,80.54
2023-01-26,436,78.07
2022-12-27,536,91.53
2022-11-22,449,75.91
2022-10-24,482,72.41
2022-09-23,1278,166.26
